company_name,founder_name,role,has_phd,has_masters,has_elite_education,is_ex_google,is_ex_meta,is_ex_apple,is_academic_background,is_serial_founder,bio
ElevenLabs,Piotr Dąbkowski,Co-founder & Head of Research,False,True,True,True,False,False,True,False,"Polish AI researcher, age 30. BA in Engineering from University of Oxford (with Distinction), MPhil in Advanced Computer Science from University of Cambridge. AI-based image detection thesis published at NeurIPS 2017. Previously worked at Opera Software, Tessian (cybersecurity), and Google (Software Engineer in Zürich, focusing on AI and large-scale systems, 2018-2022)."
Moonvalley,Naeem Talukdar,Co-founder & CEO,False,False,False,False,False,False,True,True,"Canadian entrepreneur, age 32. Graduate of Industrial Engineering program at University of Toronto (2015). Previously co-founded ContentFly (a marketplace for freelance writers) with John Thomas in 2018, backed by Khosla Ventures. Wound down ContentFly after realizing LLMs would disrupt the business. Took sabbatical to study AI video generation research papers before founding Moonvalley."
Moonvalley,John Thomas,Co-founder,False,False,False,False,False,False,True,True,Canadian entrepreneur. University of Toronto graduate. Co-founded ContentFly with Naeem Talukdar in 2018. Joined Moonvalley founding team in 2023.
Moonvalley,Mateusz Malinowski,Chief Scientific Officer & Co-founder,False,False,False,True,False,False,True,False,"Former Google DeepMind researcher in London. Worked on Google's text-to-video generator, Veo 1. Left Google to pursue independent venture due to slow product release cycles."
Moonvalley,Mikołaj Bińkowski,VP of Research & Co-founder,False,False,False,True,False,False,True,True,"Former Google DeepMind researcher in London. Worked on Google's text-to-video generator, Veo 1. Co-founded Moonvalley to advance AI video generation technology."
Moonvalley,Bryn Mooser,Co-founder of Asteria (joined Moonvalley),False,False,False,False,False,False,False,True,Two-time Oscar-nominated filmmaker for documentary shorts. Co-founded Asteria (AI film studio) with Natasha Lyonne. Asteria was acquired by Moonvalley. Leads Moonvalley's movie-making unit Asteria Labs.
Higgsfield AI,Alex Mashrabov,Founder & CEO,False,False,True,False,False,False,True,True,"Uzbekistani-American entrepreneur. Former Head of Generative AI at Snap Inc., where he led development of AR effects, filters, MyAI chatbot, and Cameos Stories. Co-founded AI Factory (acquired by Snap for $166M in 2020). Ranked among top 3 in the world in competitive programming at age 20. Started programming at age 10. Parents are engineering professors (mother designed rockets for Soviet space program). Degrees from UC Berkeley, Innopolis University, and Moscow Institute of Physics and Technology (MIPT)."
Higgsfield AI,Yerzat Dulat,Co-founder & CTO,False,False,False,False,False,False,True,True,AI researcher specializing in generative video. Co-founded Higgsfield AI with Alex Mashrabov. Previously worked in AI research and development.
Higgsfield AI,Mahi de Silva,Co-founder,False,False,False,False,False,False,False,True,Co-founder of Higgsfield AI. Combination of deep product experience with technical strength.
Pika,Demi Guo,Co-founder & CEO,True,True,True,True,True,False,True,False,"Chinese-American entrepreneur, born circa 1999 in Hangzhou, China. BA in Mathematics and Master's in Computer Science from Harvard University. Silver medal at 2015 International Olympiad in Informatics. Dropped out of Stanford Computer Science PhD program in April 2023 to found Pika. Previously interned at Microsoft, Google, Meta AI, Google Brain, and Microsoft Research. Hailed as 'genius girl' in China. Mother graduated from MIT, father was former chairman of Sunyard Technology Group."
Pika,Chenlin Meng,Co-founder & CTO,True,False,True,False,False,False,True,False,Chinese-American AI researcher. Dropped out of Stanford Computer Science PhD program alongside Demi Guo in April 2023. Previously conducted research in Stanford Artificial Intelligence Laboratory focusing on generative models and diffusion models.
Luma AI,Amit Jain,Co-founder & CEO,False,False,False,False,False,True,False,False,Former Apple engineer who worked on Vision Pro project and computer vision. Contributed to multimedia experiences for spatial computing. Brought product vision and technical expertise in AI and computer vision to Luma AI.
Luma AI,Alex Yu,Co-founder & Former CTO,False,False,True,False,False,False,True,False,Former UC Berkeley AI researcher in Kanazawa's group. Authored influential papers on neural rendering techniques including pixelNeRF and PlenOctrees. Currently AI researcher at OpenAI. Former CTO of Luma AI until joining OpenAI. Expert in 3D scene representation and neural rendering.
Luma AI,Alberto Taiuti,Co-founder,False,False,False,False,False,True,False,True,Former Apple employee with experience in AR/VR systems engineering. Co-founded Luma AI in 2021 with vision for accessible 3D content creation.
HeyGen,Joshua Xu,Co-founder & CEO,False,True,True,False,False,False,True,False,"Chinese-American entrepreneur. Master's in Computer Science from Carnegie Mellon University, BS in Electrical Engineering from Tongji University Shanghai. Former Software Engineer at Snapchat (2014-2020), one of first 100 employees. Built Snapchat advertising platform, recommendation algorithm system, machine learning platform Barista, and AI camera. Expert in ads ranking, machine learning, and computational photography."
HeyGen,Wayne Liang,Co-founder & Chief Innovation Officer,False,True,True,False,False,False,True,False,"Chinese-American product leader. Master's degree from Carnegie Mellon University, studied at Tongji University Shanghai with Joshua Xu. Former Product Designer at Smule (karaoke app) and ByteDance (TikTok parent company). Moved to West Coast in 2014. Drives product development and technological advancement at HeyGen."
Twelve Labs,Soyoung Lee,Co-founder,False,False,False,False,False,False,False,True,Korean-American AI entrepreneur. Co-founded Twelve Labs in 2021 with vision for multimodal video understanding. Part of founding team building AI-based platform for video analysis.
Twelve Labs,Aiden Lee,Co-founder,False,False,False,False,False,False,False,True,AI entrepreneur and engineer. Co-founded Twelve Labs in 2021. Part of founding team building video understanding AI technology.
Twelve Labs,Dave Chung,Co-founder,False,False,False,False,False,False,False,True,AI entrepreneur and engineer. Co-founded Twelve Labs in 2021. Part of founding team developing multimodal AI for video analysis.
Twelve Labs,Jae Lee,Co-founder,False,False,False,False,False,False,False,True,AI entrepreneur and engineer. Co-founded Twelve Labs in 2021. Part of founding team building video understanding AI platform.
Twelve Labs,SJ Kim,Co-founder,False,False,False,False,False,False,False,True,AI entrepreneur and engineer. Co-founded Twelve Labs in 2021. Part of founding team developing video AI technology.
Jasper,Dave Rogenmoser,Co-founder & Former CEO,False,False,False,False,False,False,False,True,"Entrepreneur and marketer by trade. Y Combinator alum who previously co-founded Proof, a startup that used algorithms to customize websites. Led Jasper from launch to unicorn status. Stepped down as CEO in September 2023, remaining as Chairman."
Jasper,J.P. Morgan,Co-founder & Former CTO,False,False,False,False,False,False,False,False,Background in business-to-business marketing and process automation. Helped co-launch Proof before founding Jasper.
Jasper,Chris Hull,Co-founder,False,False,False,False,False,False,False,False,Background in business-to-business marketing and process automation. Helped co-launch Proof before founding Jasper.
Bria,Dr. Yair Adato,Co-founder & CEO,True,False,True,False,False,False,True,False,"PhD in Computer Science (Computer Vision) from Ben-Gurion University in collaboration with Harvard University. Former CTO of Trax Retail where he helped transform the company from an early-stage startup to unicorn status with ~1,000 employees. Holder of 60+ patents at the intersection of AI and commercial applications. Visionary in Computer Vision and Generative AI."
Bria,Gal Jacobi,Co-founder & President,False,False,False,False,False,False,False,True,Co-founded Bria with Dr. Yair Adato in 2020. Works alongside the CEO to build the Responsible and Open Generative AI Platform.
Hugging Face,Clément Delangue,Co-founder & CEO,False,True,True,True,False,False,False,False,"French entrepreneur from La Bassée, France. Started as one of France's top eBay sellers at age 17. Master's from ESCP Business School with programs at Stanford and IIM Bangalore. Previously worked at Moodstocks (acquired by Google) and Mention. Forbes 30 Under 30 Europe 2017. Named one of Top 100 Most Influential French People by Vanity Fair 2021."
Hugging Face,Julien Chaumond,Co-founder & CTO,False,False,False,False,False,False,False,False,French entrepreneur and engineer. Met Clément Delangue in 2016 and shared passion for open technology. College friend of Thomas Wolf.
Hugging Face,Thomas Wolf,Co-founder & Chief Science Officer,True,False,False,False,False,False,True,False,PhD in Physics. Machine learning researcher and author of research papers. Leads open-source and science teams at Hugging Face.
Typeface,Abhay Parasnis,Founder & CEO,False,False,False,False,False,False,False,True,"Former CTO of Adobe (2015-2022). Led Adobe's transformation to cloud and AI-powered experiences with Creative Cloud, Document Cloud, and Experience Cloud. Previously held leadership roles at Microsoft, Oracle, and i2 Technologies. Founded Typeface in 2022 after recognizing the need for enterprise-ready generative AI solutions for marketing."
